,Variable,Count,Mean,Std (sample),Variance (sample),CV (%),Min,Q1,Median,Q3,Max,IQR,Range,Skewness
0,MDVP:Fo(Hz),195,154.22864102564102,41.39006474907147,1713.1374599323287,26.83682127639978,88.333,117.572,148.79,182.769,260.105,65.197,171.77200000000002,0.5917374636540786
1,MDVP:Fhi(Hz),195,197.10491794871797,91.49154763503036,8370.703288653029,46.417688907607214,102.145,134.8625,175.829,224.2055,592.03,89.34299999999999,489.885,2.542145997588399
2,MDVP:Flo(Hz),195,116.32463076923077,43.521413181993644,1894.1134053578098,37.41375570607491,65.476,84.291,104.315,140.01850000000002,239.17,55.72750000000002,173.694,1.2173504486278082
3,MDVP:Jitter(%),195,0.006220461538461538,0.004848133692602562,2.3504400301348154e-05,77.93848836820581,0.00168,0.00346,0.00494,0.007365,0.03316,0.003905,0.03148,3.0849462014441826
4,MDVP:Jitter(Abs),195,4.395897435897436e-05,3.482190859976327e-05,1.212565318530267e-09,79.21456109372185,7e-06,2e-05,3e-05,6e-05,0.00026,3.9999999999999996e-05,0.00025299999999999997,2.6490714165257283
5,MDVP:RAP,195,0.003306410256410257,0.0029677744162016897,8.80768498546128e-06,89.75820258384326,0.00068,0.00166,0.0025,0.003835,0.02144,0.002175,0.02076,3.3607084504805558
6,MDVP:PPQ,195,0.003446358974358974,0.0027589766469679304,7.611952138514403e-06,80.05482503403762,0.00092,0.00186,0.00269,0.003955,0.01958,0.002095,0.01866,3.0738924578885176
7,Jitter:DDP,195,0.009919948717948717,0.008903344355858987,7.926954071900607e-05,89.75191917826821,0.00204,0.004985,0.00749,0.011505000000000001,0.06433,0.0065200000000000015,0.06229,3.3620584478857203
8,MDVP:Shimmer,195,0.0297091282051282,0.018856931858946806,0.0003555838791329631,63.47184518087556,0.00954,0.016505,0.02297,0.037885,0.11908,0.021380000000000003,0.10954,1.6664804101559667
9,MDVP:Shimmer(dB),195,0.2822512820512821,0.19487729006053411,0.037977158181337546,69.0438989840007,0.085,0.1485,0.221,0.35,1.302,0.20149999999999998,1.217,1.9993886390861275
10,Shimmer:APQ3,195,0.015664153846153845,0.010153161595709016,0.00010308669038858046,64.81781075076717,0.00455,0.008245,0.01279,0.020265,0.05647,0.012019999999999998,0.05192,1.5805763798815675
11,Shimmer:APQ5,195,0.017878256410256407,0.012023705538741731,0.00014456949488236858,67.253233552708,0.0057,0.00958,0.01347,0.02238,0.0794,0.0128,0.0737,1.7986970665376232
12,MDVP:APQ,195,0.02408148717948718,0.01694673624702943,0.0002871918694263811,70.37246545746895,0.00719,0.01308,0.01826,0.0294,0.13778,0.01632,0.13059,2.6180465022154236
13,Shimmer:DDA,195,0.04699261538461539,0.030459119431240408,0.000927757956526567,64.81682107272587,0.01364,0.024735,0.03836,0.060795,0.16942,0.03606,0.15577999999999997,1.5806179936782259
14,NHR,195,0.02484707692307692,0.04041844855606929,0.0016336509836796195,162.66882692559437,0.00065,0.005925,0.01166,0.02564,0.31482,0.019715,0.31417,4.220709129139063
15,HNR,195,21.885974358974355,4.425764269063427,19.58738936531853,20.221920196340903,8.441,19.198,22.085,25.075499999999998,33.047,5.877499999999998,24.605999999999995,-0.514317497565207
16,RPDE,195,0.4985355384615385,0.10394171413073468,0.010803879936435369,20.849409141722337,0.25657,0.421306,0.495954,0.5875625,0.685151,0.16625649999999997,0.42858099999999993,-0.14340241379821705
17,DFA,195,0.7180990461538461,0.055335830346596795,0.003062054120147343,7.705877154826577,0.574282,0.6747575,0.722254,0.7618815,0.825288,0.08712399999999998,0.25100600000000006,-0.03321366071383457
18,spread1,195,-5.684396743589745,1.090207763740309,1.1885529681196452,-19.17895271771325,-7.964984,-6.450096,-5.720868,-5.046192,-2.434031,1.4039040000000007,5.530953,0.4321389320131794
19,spread2,195,0.22651034871794873,0.08340576262039774,0.006956521238290138,36.82205386750555,0.006274,0.17435050000000002,0.218885,0.279234,0.450493,0.10488349999999996,0.444219,0.14443048549278412
20,D2,195,2.3818260871794874,0.38279904654611663,0.14653511003661598,16.071662352116558,1.423287,2.0991255,2.361532,2.636456,3.671155,0.5373304999999999,2.2478680000000004,0.4303838913329285
21,PPE,195,0.20655164102564103,0.0901193224822751,0.008121492284664295,43.63040740552036,0.044539,0.137451,0.194052,0.25298,0.527367,0.11552899999999999,0.48282800000000003,0.797491071646358
