,Variable,Count,Mean,Std (sample),Variance (sample),CV (%),Min,Q1,Median,Q3,Max,IQR,Range,Skewness
0,MDVP:Fo(Hz),48,181.9377708333333,52.731067122546804,2780.5654398825363,28.983023635510985,110.739,120.9475,198.996,229.077,260.105,108.1295,149.366,-0.2060804755435577
1,MDVP:Fhi(Hz),48,223.63675,96.72706709427085,9356.125508659576,43.251865846856944,113.597,139.41325,231.1615,251.23925,592.03,111.826,478.433,2.1913567763615234
2,MDVP:Flo(Hz),48,145.2072916666667,58.75707046814219,3452.393329998227,40.46426993695542,74.287,98.24375,113.9385,199.183,239.17,100.93924999999999,164.88299999999998,0.4544007165901835
3,MDVP:Jitter(%),48,0.0038660416666666665,0.0020546229550914325,4.221475487588651e-06,53.145390873734314,0.00178,0.0026550000000000002,0.003355,0.00453,0.0136,0.001875,0.011819999999999999,2.5951960664159723
4,MDVP:Jitter(Abs),48,2.3375000000000002e-05,1.4966096436719611e-05,2.2398404255319146e-10,64.02608101270421,7e-06,1e-05,2.5e-05,3e-05,8e-05,1.9999999999999998e-05,7.300000000000001e-05,1.2035082315190633
5,MDVP:RAP,48,0.0019250000000000003,0.0010661802969160119,1.1367404255319152e-06,55.38598945018243,0.00092,0.0013325,0.0016250000000000001,0.0019075000000000001,0.00624,0.0005750000000000002,0.00532,2.227438277812359
6,MDVP:PPQ,48,0.0020560416666666665,0.0009432644528520008,8.897478280141844e-07,45.877691495486914,0.00106,0.00148,0.001775,0.0022275000000000003,0.00564,0.0007475000000000003,0.00458,1.8984080046253107
7,Jitter:DDP,48,0.005776041666666666,0.003199365455426417,1.0235939317375884e-05,55.39027659529956,0.00276,0.0039975,0.004875,0.005725,0.01873,0.0017274999999999999,0.01597,2.227230335190806
8,MDVP:Shimmer,48,0.01761520833333333,0.005544432127391247,3.074072761524823e-05,31.475257189547374,0.00954,0.014475,0.016704999999999998,0.02021,0.04087,0.005734999999999999,0.03133,1.6327750567727763
9,MDVP:Shimmer(dB),48,0.16295833333333334,0.05782216255268825,0.0033434024822695035,35.48278960021779,0.085,0.129,0.154,0.18925,0.405,0.06025,0.32,1.7446431208204594
10,Shimmer:APQ3,48,0.009503541666666667,0.003456031723642405,1.1944155274822694e-05,36.365723904429366,0.00468,0.00735,0.008775,0.011512499999999998,0.02336,0.004162499999999999,0.01868,1.495942965518572
11,Shimmer:APQ5,48,0.010508541666666668,0.0032310863660091056,1.0439919104609928e-05,30.74723847037867,0.00606,0.0081925,0.010225000000000001,0.011980000000000001,0.02498,0.003787500000000001,0.01892,2.0054121360352335
12,MDVP:APQ,48,0.013304791666666668,0.003825122993201731,1.463156591312057e-05,28.749965343576573,0.00719,0.011235,0.013015,0.015945,0.02745,0.004710000000000001,0.02026,1.0438893146123993
13,Shimmer:DDA,48,0.028511458333333337,0.01036847718349276,0.00010750531910460995,36.36600086278561,0.01403,0.02206,0.02633,0.03454,0.07008,0.012480000000000002,0.05605,1.4956571775444223
14,NHR,48,0.011482708333333333,0.019088407280568626,0.00036436729250886526,166.23610673064465,0.00065,0.0041875,0.004824999999999999,0.0092125,0.10715,0.005025,0.1065,3.7021452088065954
15,HNR,48,24.678749999999997,3.4345402708863997,11.796066872340424,13.916994462387278,17.883,22.99325,24.997,26.13925,33.047,3.146000000000001,15.163999999999998,0.36375825340019846
16,RPDE,48,0.442551875,0.09219903462817289,0.008500661986367022,20.833497683898162,0.25657,0.37212575,0.4353675,0.5077477499999999,0.663842,0.13562199999999996,0.407272,0.3114385965198892
17,DFA,48,0.6957155625000001,0.05134599727626179,0.002636411436293883,7.380314606123502,0.62671,0.65429125,0.6825275,0.742284,0.785714,0.08799275000000006,0.15900400000000003,0.27866501515291586
18,spread1,48,-6.759263874999999,0.6427817080318029,0.4131683241802819,-9.509640693407652,-7.964984,-7.25766525,-6.8264485,-6.35014625,-5.198864,0.9075189999999997,2.76612,0.41453153931456693
19,spread2,48,0.16029200000000002,0.06298226992862119,0.003966766325361701,39.29221042136924,0.006274,0.12062300000000001,0.167356,0.19376575,0.291954,0.07314274999999998,0.28568,-0.2538893636509465
20,D2,48,2.1544907291666666,0.3102688409806539,0.0962667536834783,14.40102929106882,1.423287,1.974217,2.12951,2.339487,2.88245,0.36527,1.459163,0.007316162268831505
21,PPE,48,0.12301710416666667,0.0448198457540234,0.00200881857341445,36.43383256144637,0.044539,0.0946575,0.1151185,0.14776050000000002,0.252404,0.05310300000000001,0.20786500000000002,0.8260105640365776
