,Variable,Count,Mean,Std (sample),Variance (sample),CV (%),Min,Q1,Median,Q3,Max,IQR,Range,Skewness
0,MDVP:Fo(Hz),147,145.1807619047619,32.34804989026689,1046.396331703196,22.28122339755119,88.333,117.572,145.174,170.071,223.361,52.498999999999995,135.028,0.36684955948316295
1,MDVP:Fhi(Hz),147,188.44146258503403,88.3391796781542,7803.810666209211,46.87884421311537,102.145,133.7765,163.335,207.1605,588.518,73.38400000000001,486.37300000000005,2.8032726878545335
2,MDVP:Flo(Hz),147,106.89355782312924,32.27435792239934,1041.6341793031409,30.19298691114941,65.476,80.8755,99.77,129.24,199.02,48.36450000000001,133.544,0.8936644548189732
3,MDVP:Jitter(%),147,0.006989251700680272,0.005239786946473301,2.7455367244432005e-05,74.96921231157417,0.00168,0.004005,0.00544,0.00767,0.03316,0.003665,0.03148,2.8574858039979762
4,MDVP:Jitter(Abs),147,5.068027210884354e-05,3.680120352308287e-05,1.354328580747367e-09,72.61445527373398,1e-05,3e-05,4e-05,6e-05,0.00026,3e-05,0.00024999999999999995,2.5540546638444996
5,MDVP:RAP,147,0.0037574829931972796,0.0032411696357311347,1.0505180607585497e-05,86.25906335701579,0.00068,0.00203,0.00284,0.0040999999999999995,0.02144,0.0020699999999999994,0.02076,3.059988955309165
6,MDVP:PPQ,147,0.003900340136054422,0.0029975113913126832,8.985074541049299e-06,76.85256379575554,0.00092,0.00219,0.00314,0.00436,0.01958,0.00217,0.01866,2.791291683694789
7,Jitter:DDP,147,0.011273061224489796,0.009723507429374575,9.454659672910256e-05,86.25436548016839,0.00204,0.006085,0.00853,0.0123,0.06433,0.006215,0.06229,3.0614272914712792
8,MDVP:Shimmer,147,0.03365816326530613,0.01997007902318716,0.00039880405619233984,59.33205227443812,0.01022,0.018295,0.02838,0.042525,0.11908,0.02423,0.10886000000000001,1.370145715682737
9,MDVP:Shimmer(dB),147,0.32120408163265307,0.20779837233450602,0.04318016354487,64.69356531158775,0.09,0.168,0.263,0.3945,1.302,0.2265,1.212,1.7167271688404824
10,Shimmer:APQ3,147,0.01767578231292517,0.010797270832564118,0.00011658105743173984,61.08510866118081,0.00455,0.009135,0.01484,0.022815000000000002,0.05647,0.013680000000000001,0.05192,1.282823197445271
11,Shimmer:APQ5,147,0.020284693877551024,0.012847239472477403,0.00016505156206318144,63.33464803575558,0.0057,0.010575000000000001,0.0165,0.024935,0.0794,0.014359999999999998,0.0737,1.477982973852558
12,MDVP:APQ,147,0.0276004081632653,0.018062426522675635,0.0003262512518870562,65.44260655795583,0.00811,0.015555,0.02157,0.034824999999999995,0.13778,0.019269999999999995,0.12967,2.376707764149346
13,Shimmer:DDA,147,0.05302727891156462,0.032391485701795474,0.0010492083459696204,61.084570746720466,0.01364,0.0274,0.04451,0.06845499999999999,0.16942,0.04105499999999999,0.15577999999999997,1.2828746181058626
14,NHR,147,0.029210952380952383,0.04444717830594795,0.00197555165936073,152.1592919200083,0.00231,0.008445000000000001,0.01658,0.02796,0.31482,0.019514999999999998,0.31251,3.9037479934911774
15,HNR,147,20.974047619047617,4.3391425441283715,18.82815801826484,20.68815053222141,8.441,18.782,21.414,24.1645,29.928,5.3825,21.487000000000002,-0.6190446599545048
16,RPDE,147,0.5168159183673469,0.10125439547952869,0.010252452603924801,19.5919653170509,0.263654,0.439064,0.530529,0.6045735,0.685151,0.16550949999999998,0.42149699999999996,-0.33028862350072863
17,DFA,147,0.7254079387755102,0.0547863508205826,0.003001544236235952,7.552488454022442,0.574282,0.6855685,0.726652,0.7648675,0.825288,0.07929900000000001,0.25100600000000006,-0.15146028089468033
18,spread1,147,-5.333419721088434,0.9707922898764275,0.9424376700835178,-18.202060603591686,-7.120925,-6.0383,-5.44004,-4.6640675,-2.434031,1.3742324999999997,4.686894,0.5582120083793403
19,spread2,147,0.2481326666666667,0.0778093576389283,0.006054296136182648,31.357966157456747,0.063412,0.199507,0.240875,0.3036605,0.450493,0.10415350000000001,0.387081,0.16358565006322406
20,D2,147,2.4560580408163264,0.37574166029950473,0.14118179528462843,15.29856599702418,1.765957,2.180933,2.439597,2.668479,3.671155,0.48754600000000003,1.9051980000000002,0.47448391493222725
21,PPE,147,0.2338282244897959,0.08427126619750916,0.007101646306531451,36.039817854061795,0.093193,0.170103,0.222716,0.274397,0.527367,0.104294,0.43417400000000006,0.8416169307724078
